,Timestamp,MON1 CL DDM (?A),MON1 CL RF (dB),MON1 DS DDM (?A),MON1 DS RF (dB),MON1 NF DDM (?A),MON1 NF RF (dB),MON1 CLR DDM (?A),MON1 CLR RF (dB),Anomaly,Anomaly_Score
0,2022-01-28 14:11:19,2.02,0.32,0.87,0.29,-3.18,0.19,2.31,0.34,0,-0.08940857063875668
1,2022-01-28 14:16:19,1.74,0.32,0.87,0.29,-2.89,0.19,2.31,0.34,0,-0.063187246986606
2,2022-01-28 14:21:20,1.74,0.32,0.87,0.29,-3.18,0.19,2.6,0.34,0,-0.07223575004925464
3,2022-01-28 14:26:20,0.29,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,0.30746823649043553
4,2022-01-28 14:31:20,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.49,-35.61,1,0.3016005852322682
5,2022-01-28 14:36:21,0.0,-41.53,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,0.2983012118378784
6,2022-01-28 14:41:21,0.0,-41.53,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,0.2983012118378784
7,2022-01-28 14:46:22,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,0.2998849697969931
8,2022-01-28 14:51:22,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,0.2998849697969931
9,2022-01-28 14:56:23,0.0,-41.53,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,0.2983012118378784
10,2022-01-28 15:01:23,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,0.2998849697969931
11,2022-01-28 15:06:24,1.74,0.34,0.58,0.31,-3.18,0.2,2.6,0.36,0,-0.053796941728386394
12,2022-01-28 15:11:24,1.74,0.35,0.58,0.32,-3.18,0.22,2.6,0.36,0,-0.05776382485132797
13,2022-01-28 15:16:24,1.74,0.35,0.58,0.32,-3.18,0.21,2.6,0.36,0,-0.05846585301354318
14,2022-01-28 15:21:24,1.74,0.34,0.58,0.32,-3.18,0.2,2.6,0.36,0,-0.055350504660991395
15,2022-01-28 15:26:25,0.0,-41.53,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,0.2983012118378784
16,2022-01-28 15:31:25,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,0.2998849697969931
17,2022-01-28 15:36:26,1.74,0.34,0.58,0.31,-2.89,0.2,2.31,0.36,0,-0.042990183376200475
18,2022-01-28 15:41:26,1.74,0.34,0.58,0.32,-2.89,0.2,2.6,0.36,0,-0.055030490984307845
19,2022-01-28 15:46:26,1.74,0.34,0.87,0.31,-2.89,0.19,2.31,0.36,0,-0.06713256122464789
20,2022-01-28 15:51:27,1.74,0.34,0.87,0.31,-2.89,0.19,2.31,0.36,0,-0.06713256122464789
21,2022-01-28 15:56:28,1.74,0.33,0.87,0.31,-2.89,0.19,2.31,0.36,0,-0.07153827701619953
22,2022-01-28 16:01:28,1.74,0.33,0.87,0.31,-3.18,0.18,2.6,0.36,0,-0.08156008911149054
23,2022-01-28 16:06:29,1.74,0.33,0.58,0.31,-2.89,0.17,2.31,0.36,0,-0.05305080019340236
24,2022-01-28 16:11:29,1.74,0.33,0.58,0.31,-3.18,0.17,2.31,0.35,0,-0.05267241044543869
25,2022-01-28 16:16:29,1.74,0.33,0.58,0.31,-2.89,0.17,2.31,0.35,0,-0.05267241044543869
26,2022-01-28 16:21:29,1.74,0.33,0.87,0.31,-2.89,0.17,2.31,0.35,0,-0.07423437348773143
27,2022-01-28 16:26:29,1.74,0.33,0.87,0.31,-2.89,0.17,2.31,0.35,0,-0.07423437348773143
28,2022-01-28 16:31:29,1.74,0.33,0.87,0.31,-2.89,0.16,2.02,0.35,0,-0.06930975991996446
29,2022-01-28 16:36:29,1.74,0.33,0.87,0.31,-2.89,0.16,2.02,0.35,0,-0.06930975991996446
30,2022-01-28 16:41:29,1.74,0.33,0.87,0.31,-2.6,0.16,2.31,0.35,0,-0.07217436354704304
31,2022-01-28 16:46:30,1.74,0.33,0.87,0.31,-2.89,0.16,2.31,0.35,0,-0.0724009995738058
32,2022-01-28 16:51:30,0.29,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,0.30746823649043553
33,2022-01-28 16:56:31,0.29,-39.9,-77.22,-39.9,0.0,-39.9,-322.78,-35.61,1,0.3104176034896219
