,Timestamp,MON1 CL DDM (?A),MON1 CL RF (dB),MON1 DS DDM (?A),MON1 DS RF (dB),MON1 NF DDM (?A),MON1 NF RF (dB),MON1 CLR DDM (?A),MON1 CLR RF (dB),Anomaly,Anomaly_Score
0,2022-02-09 09:42:12,3.76,0.31,2.31,0.26,-2.89,0.17,6.07,0.3,0,-0.0713171487198399
1,2022-02-09 09:47:12,3.18,0.31,2.31,0.26,-2.31,0.14,6.94,0.28,0,-0.0722349601395812
2,2022-02-09 09:52:13,3.47,0.31,2.02,0.26,-2.6,0.13,7.23,0.28,0,-0.07142904932674399
3,2022-02-09 09:57:13,3.47,0.3,2.02,0.25,-2.02,0.14,6.94,0.28,0,-0.0714479798466659
4,2022-02-09 10:02:13,3.47,0.3,2.02,0.25,-2.02,0.1,7.23,0.28,0,-0.06685928947761072
5,2022-02-09 10:07:13,3.76,0.29,2.31,0.25,-1.74,0.11,7.23,0.28,0,-0.04099910872181978
6,2022-02-09 10:12:14,3.76,0.29,2.02,0.24,-1.16,0.08,7.23,0.28,0,-0.04907758294040182
7,2022-02-09 10:17:14,3.76,0.27,2.31,0.22,-1.45,0.11,7.81,0.26,0,-0.009972044843765238
8,2022-02-09 10:22:14,3.76,0.26,2.6,0.2,-1.74,0.17,8.1,0.25,1,0.028128662755927736
9,2022-02-09 10:27:15,3.76,0.26,2.6,0.2,-2.02,0.19,8.1,0.25,1,0.03162509239678102
10,2022-02-09 10:32:15,3.76,0.26,2.6,0.2,-2.31,0.19,8.1,0.24,1,0.04378650719900068
11,2022-02-09 10:37:15,3.47,0.27,2.31,0.22,-2.31,0.19,7.52,0.25,0,-0.018755128620916217
12,2022-02-09 10:42:16,3.18,0.28,2.31,0.23,-2.02,0.14,7.23,0.26,0,-0.053174475021098344
13,2022-02-09 10:47:16,3.18,0.29,2.02,0.25,-2.02,0.17,6.65,0.27,0,-0.08214929230422452
14,2022-02-09 10:52:16,3.18,0.31,2.02,0.26,-1.74,0.14,6.36,0.28,0,-0.10591877220877699
15,2022-02-09 10:57:17,2.6,0.33,1.45,0.29,-2.31,0.19,5.21,0.3,0,-0.13190236502625519
16,2022-02-09 11:02:17,2.6,0.34,1.45,0.3,-2.31,0.18,4.92,0.31,0,-0.13478437224716266
17,2022-02-09 11:07:17,2.6,0.34,1.45,0.31,-2.31,0.18,4.92,0.31,0,-0.1355528766926346
18,2022-02-09 11:12:17,2.6,0.34,1.16,0.31,-2.31,0.18,4.63,0.31,0,-0.14020365540613172
19,2022-02-09 11:17:17,2.6,0.34,0.87,0.31,-2.31,0.19,3.47,0.31,0,-0.1274764343361397
20,2022-02-09 11:22:18,2.6,0.33,0.58,0.31,-2.31,0.19,2.31,0.31,0,-0.09218612859269426
21,2022-02-09 11:27:18,2.6,0.32,0.58,0.31,-2.31,0.18,1.74,0.32,0,-0.07703030647091758
22,2022-02-09 11:32:18,2.6,0.31,0.87,0.29,-2.02,0.14,2.02,0.31,0,-0.10172482338470662
23,2022-02-09 11:37:18,2.6,0.31,1.16,0.28,-2.02,0.15,3.47,0.3,0,-0.12975362755705472
24,2022-02-09 11:42:18,2.6,0.31,1.16,0.28,-2.02,0.14,4.05,0.29,0,-0.14080218627529417
25,2022-02-09 11:47:18,2.6,0.3,1.16,0.27,-1.74,0.12,4.34,0.28,0,-0.13579058141220057
26,2022-02-09 11:52:19,2.6,0.3,1.45,0.26,-1.74,0.13,4.63,0.28,0,-0.14108092431945574
27,2022-02-09 11:57:19,2.89,0.29,1.16,0.26,-1.74,0.13,4.63,0.28,0,-0.1363956787076796
28,2022-02-09 12:02:20,2.89,0.3,1.45,0.26,-1.45,0.13,4.63,0.28,0,-0.14863319422858517
29,2022-02-09 12:07:20,2.89,0.29,1.16,0.26,-1.16,0.16,4.63,0.28,0,-0.1391002280193241
30,2022-02-09 12:12:21,2.89,0.29,1.45,0.25,-1.16,0.1,4.92,0.27,0,-0.13394459935312097
31,2022-02-09 12:17:21,2.89,0.28,1.16,0.25,-1.16,0.12,4.92,0.27,0,-0.12104698220455667
32,2022-02-09 12:22:21,2.89,0.29,1.16,0.26,-1.16,0.1,4.63,0.28,0,-0.14121034514230435
33,2022-02-09 12:27:22,2.6,0.3,1.45,0.27,-1.16,0.15,4.63,0.29,0,-0.1456066701692162
34,2022-02-09 12:32:22,2.6,0.31,1.16,0.28,-1.45,0.15,4.63,0.3,0,-0.14106966723050846
35,2022-02-09 12:37:22,2.6,0.32,1.16,0.28,-1.16,0.15,4.63,0.3,0,-0.1409476024891831
36,2022-02-09 12:42:23,2.89,0.3,1.45,0.27,-1.16,0.15,4.63,0.29,0,-0.15083254141275704
37,2022-02-09 12:47:23,2.89,0.29,1.45,0.26,-1.16,0.11,4.92,0.28,0,-0.1498763630707628
38,2022-02-09 12:52:23,2.89,0.29,1.45,0.25,-1.16,0.12,4.92,0.27,0,-0.13416752439869128
39,2022-02-09 12:57:23,2.89,0.28,1.45,0.25,-1.45,0.12,4.92,0.27,0,-0.13101145611442244
40,2022-02-09 13:02:24,2.6,0.28,1.45,0.24,-1.16,0.11,4.92,0.26,0,-0.1195867886050545
41,2022-02-09 13:07:24,2.6,0.28,1.74,0.24,-1.45,0.13,5.21,0.26,0,-0.11167856155378864
42,2022-02-09 13:12:24,2.89,0.28,1.45,0.24,-1.16,0.11,5.21,0.26,0,-0.11820391617676346
43,2022-02-09 13:17:24,2.89,0.28,1.45,0.24,-1.16,0.11,5.21,0.26,0,-0.11820391617676346
44,2022-02-09 13:22:25,2.6,0.28,1.74,0.24,-1.16,0.13,4.92,0.26,0,-0.11651368875195789
45,2022-02-09 13:27:25,2.89,0.27,1.74,0.23,-1.16,0.12,4.92,0.26,0,-0.11252586763846772
46,2022-02-09 13:32:25,2.89,0.27,1.45,0.23,-0.87,0.13,4.92,0.26,0,-0.11215700651624977
47,2022-02-09 13:37:25,2.6,0.27,1.74,0.23,-0.87,0.12,4.92,0.26,0,-0.10756810753960866
48,2022-02-09 13:42:25,2.89,0.27,1.74,0.23,-0.87,0.1,5.21,0.26,0,-0.1073933658952812
49,2022-02-09 13:47:26,2.89,0.27,1.74,0.23,-0.87,0.11,5.21,0.25,0,-0.08968118819879822
50,2022-02-09 13:52:26,2.89,0.26,1.74,0.23,-0.87,0.11,5.21,0.25,0,-0.08858335523349548
51,2022-02-09 13:57:27,2.89,0.27,1.45,0.23,-0.58,0.12,5.21,0.26,0,-0.10820406235973562
52,2022-02-09 14:02:27,2.6,0.28,1.74,0.24,-0.58,0.11,5.21,0.26,0,-0.1134692119812275
53,2022-02-09 14:07:27,2.89,0.28,1.45,0.25,-0.58,0.14,4.92,0.27,0,-0.1320837007658241
54,2022-02-09 14:12:27,2.89,0.28,1.45,0.25,-0.58,0.15,4.92,0.27,0,-0.12930419690398703
55,2022-02-09 14:17:28,2.89,0.28,1.45,0.25,-0.58,0.15,4.92,0.28,0,-0.13611416311188823
56,2022-02-09 14:22:28,2.89,0.29,1.45,0.25,-0.87,0.15,4.92,0.28,0,-0.14335278879079938
57,2022-02-09 14:27:28,2.89,0.29,1.45,0.25,-0.58,0.14,4.92,0.28,0,-0.14545509998787043
58,2022-02-09 14:32:29,2.89,0.3,1.45,0.26,-0.58,0.15,4.63,0.29,0,-0.14911229974404572
59,2022-02-09 14:37:29,2.6,0.32,1.45,0.28,-0.87,0.17,4.34,0.31,0,-0.1453342629910499
60,2022-02-09 14:42:30,2.89,0.32,1.45,0.29,-0.29,0.13,4.34,0.31,0,-0.1454676209089132
61,2022-02-09 14:47:30,3.18,0.35,0.87,0.32,-1.74,0.11,0.58,0.36,0,-0.051980050822972856
62,2022-02-09 14:52:30,3.18,0.34,1.16,0.31,-2.6,0.14,2.31,0.34,0,-0.09567097979962091
63,2022-02-09 14:57:31,2.89,0.35,1.16,0.32,-2.89,0.14,3.18,0.34,0,-0.13141070029291996
64,2022-02-09 15:02:31,2.89,0.35,1.16,0.32,-2.6,0.14,3.47,0.34,0,-0.13354974341768855
65,2022-02-09 15:07:32,2.89,0.35,1.16,0.32,-2.31,0.14,3.47,0.34,0,-0.13354974341768855
66,2022-02-09 15:12:32,2.89,0.35,1.16,0.32,-2.02,0.13,2.6,0.34,0,-0.11641496682388347
67,2022-02-09 15:17:32,2.89,0.35,0.87,0.33,-2.02,0.13,1.45,0.35,0,-0.09802136376277798
68,2022-02-09 15:22:32,2.89,0.35,0.29,0.33,-2.02,0.12,0.58,0.36,0,-0.028636199547844354
