,Timestamp,MON1 CL DDM (?A),MON1 CL RF (dB),MON1 DS DDM (?A),MON1 DS RF (dB),MON1 NF DDM (?A),MON1 NF RF (dB),MON1 CLR DDM (?A),MON1 CLR RF (dB),Anomaly,Anomaly_Score
0,2022-01-28 14:11:19,2.02,0.32,0.87,0.29,-3.18,0.19,2.31,0.34,0,0.06247069042994315
1,2022-01-28 14:16:19,1.74,0.32,0.87,0.29,-2.89,0.19,2.31,0.34,0,0.010811824801590441
2,2022-01-28 14:21:20,1.74,0.32,0.87,0.29,-3.18,0.19,2.6,0.34,0,0.047144910933753725
3,2022-01-28 14:26:20,0.29,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,0.5135636329650879
4,2022-01-28 14:31:20,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.49,-35.61,0,0.010761260986328125
5,2022-01-28 14:36:21,0.0,-41.53,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,0,0.0
6,2022-01-28 14:41:21,0.0,-41.53,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,0,0.0
7,2022-01-28 14:46:22,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,0,0.0
8,2022-01-28 14:51:22,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,0,0.0
9,2022-01-28 14:56:23,0.0,-41.53,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,0,0.0
10,2022-01-28 15:01:23,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,0,0.0
11,2022-01-28 15:06:24,1.74,0.34,0.58,0.31,-3.18,0.2,2.6,0.36,0,0.014786380276979434
12,2022-01-28 15:11:24,1.74,0.35,0.58,0.32,-3.18,0.22,2.6,0.36,0,0.020022163187288045
13,2022-01-28 15:16:24,1.74,0.35,0.58,0.32,-3.18,0.21,2.6,0.36,0,0.0178367509232366
14,2022-01-28 15:21:24,1.74,0.34,0.58,0.32,-3.18,0.2,2.6,0.36,0,0.015091884549959158
15,2022-01-28 15:26:25,0.0,-41.53,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,0,0.0
16,2022-01-28 15:31:25,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,0,0.0
17,2022-01-28 15:36:26,1.74,0.34,0.58,0.31,-2.89,0.2,2.31,0.36,0,0.016213970947994254
18,2022-01-28 15:41:26,1.74,0.34,0.58,0.32,-2.89,0.2,2.6,0.36,0,0.02041698899753383
19,2022-01-28 15:46:26,1.74,0.34,0.87,0.31,-2.89,0.19,2.31,0.36,0,0.007541089051276468
20,2022-01-28 15:51:27,1.74,0.34,0.87,0.31,-2.89,0.19,2.31,0.36,0,0.007541089051276468
21,2022-01-28 15:56:28,1.74,0.33,0.87,0.31,-2.89,0.19,2.31,0.36,0,0.0069419210699169865
22,2022-01-28 16:01:28,1.74,0.33,0.87,0.31,-3.18,0.18,2.6,0.36,0,0.04626051866824978
23,2022-01-28 16:06:29,1.74,0.33,0.58,0.31,-2.89,0.17,2.31,0.36,0,0.011561770587937536
24,2022-01-28 16:11:29,1.74,0.33,0.58,0.31,-3.18,0.17,2.31,0.35,0,0.020022163187288045
25,2022-01-28 16:16:29,1.74,0.33,0.58,0.31,-2.89,0.17,2.31,0.35,0,0.012045440973695967
26,2022-01-28 16:21:29,1.74,0.33,0.87,0.31,-2.89,0.17,2.31,0.35,0,0.0069419210699169865
27,2022-01-28 16:26:29,1.74,0.33,0.87,0.31,-2.89,0.17,2.31,0.35,0,0.0069419210699169865
28,2022-01-28 16:31:29,1.74,0.33,0.87,0.31,-2.89,0.16,2.02,0.35,0,0.006941927578254603
29,2022-01-28 16:36:29,1.74,0.33,0.87,0.31,-2.89,0.16,2.02,0.35,0,0.006941927578254603
30,2022-01-28 16:41:29,1.74,0.33,0.87,0.31,-2.6,0.16,2.31,0.35,0,0.06114072119997748
31,2022-01-28 16:46:30,1.74,0.33,0.87,0.31,-2.89,0.16,2.31,0.35,0,0.009703384472725297
32,2022-01-28 16:51:30,0.29,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,0.5135636329650879
33,2022-01-28 16:56:31,0.29,-39.9,-77.22,-39.9,0.0,-39.9,-322.78,-35.61,1,0.5153877493850425
34,2022-01-28 17:01:31,1.74,0.32,0.58,0.3,-2.89,0.15,2.31,0.36,0,0.01400784700380545
35,2022-01-28 17:06:32,1.74,0.34,0.87,0.31,-2.89,0.16,2.02,0.36,0,0.006741661910638956
36,2022-01-28 17:11:32,1.74,0.34,0.58,0.32,-2.89,0.16,2.02,0.36,0,0.01400784700380545
37,2022-01-28 17:16:32,1.74,0.34,0.58,0.31,-2.89,0.16,2.02,0.36,0,0.012993687695968911
