,Timestamp,MON1 CL DDM (?A),MON1 CL RF (dB),MON1 DS DDM (?A),MON1 DS RF (dB),MON1 NF DDM (?A),MON1 NF RF (dB),MON1 CLR DDM (?A),MON1 CLR RF (dB),Anomaly,Anomaly_Score
0,2022-02-09 09:42:12,3.76,0.31,2.31,0.26,-2.89,0.17,6.07,0.3,0,1.1786519340748558
1,2022-02-09 09:47:12,3.18,0.31,2.31,0.26,-2.31,0.14,6.94,0.28,0,1.1035656271915344
2,2022-02-09 09:52:13,3.47,0.31,2.02,0.26,-2.6,0.13,7.23,0.28,0,1.0730739980893986
3,2022-02-09 09:57:13,3.47,0.3,2.02,0.25,-2.02,0.14,6.94,0.28,0,0.9753244538384962
4,2022-02-09 10:02:13,3.47,0.3,2.02,0.25,-2.02,0.1,7.23,0.28,0,0.986966766164046
5,2022-02-09 10:07:13,3.76,0.29,2.31,0.25,-1.74,0.11,7.23,0.28,0,0.997093167580666
6,2022-02-09 10:12:14,3.76,0.29,2.02,0.24,-1.16,0.08,7.23,0.28,0,0.9719022188877637
7,2022-02-09 10:17:14,3.76,0.27,2.31,0.22,-1.45,0.11,7.81,0.26,0,0.9801170727769903
8,2022-02-09 10:22:14,3.76,0.26,2.6,0.2,-1.74,0.17,8.1,0.25,0,0.9988065782494475
9,2022-02-09 10:27:15,3.76,0.26,2.6,0.2,-2.02,0.19,8.1,0.25,0,1.0474934281665598
10,2022-02-09 10:32:15,3.76,0.26,2.6,0.2,-2.31,0.19,8.1,0.24,0,1.1528015543739019
11,2022-02-09 10:37:15,3.47,0.27,2.31,0.22,-2.31,0.19,7.52,0.25,0,1.0094697189434303
12,2022-02-09 10:42:16,3.18,0.28,2.31,0.23,-2.02,0.14,7.23,0.26,0,1.0331144357215685
13,2022-02-09 10:47:16,3.18,0.29,2.02,0.25,-2.02,0.17,6.65,0.27,0,1.0079583341468876
14,2022-02-09 10:52:16,3.18,0.31,2.02,0.26,-1.74,0.14,6.36,0.28,0,0.9778169804793254
15,2022-02-09 10:57:17,2.6,0.33,1.45,0.29,-2.31,0.19,5.21,0.3,0,1.0369102395898324
16,2022-02-09 11:02:17,2.6,0.34,1.45,0.3,-2.31,0.18,4.92,0.31,0,1.026572201166862
17,2022-02-09 11:07:17,2.6,0.34,1.45,0.31,-2.31,0.18,4.92,0.31,0,1.0267373394768173
18,2022-02-09 11:12:17,2.6,0.34,1.16,0.31,-2.31,0.18,4.63,0.31,0,0.9798426481628046
19,2022-02-09 11:17:17,2.6,0.34,0.87,0.31,-2.31,0.19,3.47,0.31,0,0.9758382292048248
