
Timestamp,MON1 CL DDM (?A),MON1 CL RF (V),MON1 DS DDM (?A),MON1 DS RF (V),MON1 NF DDM (?A),MON1 NF RF (V),MON1 CLR DDM (?A),MON1 CLR RF (V)
2022-02-08 13:18:57,-1.16,2.88,0.00,2.96,-13.59,3.24,-0.58,2.98
2022-02-08 13:23:58,-1.16,2.88,0.00,2.96,-13.30,3.24,-0.58,2.98
2022-02-08 13:28:58,-1.16,2.88,0.00,2.96,-13.30,3.24,-0.58,2.98
2022-02-08 13:33:58,-1.16,2.88,0.29,2.96,-13.30,3.24,-0.58,2.98
2022-02-08 13:38:58,-1.16,2.89,0.00,2.97,-13.30,3.24,-0.58,2.98
2022-02-08 13:43:59,-1.16,2.89,0.00,2.97,-13.59,3.24,-1.16,2.98
2022-02-08 13:48:59,-1.16,2.88,0.00,2.96,-13.30,3.24,-0.58,2.98
2022-02-08 13:54:00,-1.16,2.88,0.00,2.96,-13.30,3.24,-0.58,2.98
2022-02-08 13:59:00,-1.16,2.88,-0.29,2.96,-13.59,3.24,-0.58,2.98
2022-02-08 14:04:01,-1.16,2.88,0.00,2.96,-13.30,3.24,-0.58,2.98
2022-02-08 14:09:01,-1.16,2.88,0.00,2.96,-13.30,3.24,-0.87,2.98
2022-02-08 14:14:02,-1.16,2.88,0.00,2.96,-13.59,3.24,-0.58,2.98
2022-02-08 14:19:02,-1.16,2.88,0.00,2.96,-13.30,3.24,-0.58,2.98
2022-02-08 14:24:03,-1.16,2.88,-0.29,2.96,-13.30,3.24,-0.58,2.98
2022-02-08 14:29:03,-1.16,2.88,0.00,2.96,-13.30,3.24,-0.87,2.98
2022-02-08 14:34:03,-1.16,2.88,0.00,2.96,-13.30,3.24,-0.58,2.98
2022-02-08 14:39:03,-1.16,2.88,0.00,2.96,-13.59,3.24,-0.58,2.98
2022-02-08 14:44:04,-1.16,2.88,0.00,2.96,-13.30,3.24,-0.87,2.98
2022-02-08 14:49:04,-1.16,2.88,0.00,2.96,-13.30,3.24,-0.87,2.98
2022-02-08 14:54:05,-1.16,2.88,0.00,2.96,-13.30,3.24,-0.87,2.98
