'Timestamp', 'MON1 CL DDM (?A)', 'MON1 CL RF (dB)', 'MON1 DS DDM (?A)', 'MON1 DS RF (dB)', 'MON1 NF DDM (?A)', 'MON1 NF RF (dB)', 'MON1 CLR DDM (?A)', 'MON1 CLR RF (dB)','TEMP1', 'TEMP2', 'TRYKK', 'SIKT'
2022 01 28 14 11 19,2.02,0.32,0.87,0.29,-3.18,0.19,2.31,0.34,00,-02,1001,9999
2022 01 28 14 16 19,1.74,0.32,0.87,0.29,-2.89,0.19,2.31,0.34,00,-02,1001,9999
2022 01 28 14 21 20,1.74,0.32,0.87,0.29,-3.18,0.19,2.60,0.34,00,-04,1000,9999
2022 01 28 14 26 20,0.29,-39.90,-76.94,-39.90,0.00,-39.90,-322.78,-35.61,00,-04,1000,9999
2022 01 28 14 31 20,0.00,-39.90,-76.94,-39.90,0.00,-39.90,-322.49,-35.61,00,-04,1000,9999
2022 01 28 14 36 21,0.00,-41.53,-76.94,-39.90,0.00,-39.90,-322.78,-35.61,00,-04,1000,9999
2022 01 28 14 41 21,0.00,-41.53,-76.94,-39.90,0.00,-39.90,-322.78,-35.61,00,-04,1000,9999
2022 01 28 14 46 22,0.00,-39.90,-76.94,-39.90,0.00,-39.90,-322.78,-35.61,00,-04,1000,9999
2022 01 28 14 51 22,0.00,-39.90,-76.94,-39.90,0.00,-39.90,-322.78,-35.61,00,-03,1000,6000
2022 01 28 14 56 23,0.00,-41.53,-76.94,-39.90,0.00,-39.90,-322.78,-35.61,00,-03,1000,6000
2022 01 28 15 01 23,0.00,-39.90,-76.94,-39.90,0.00,-39.90,-322.78,-35.61,00,-03,1000,6000
2022 01 28 15 06 24,1.74,0.34,0.58,0.31,-3.18,0.20,2.60,0.36,00,-03,1000,6000
2022 01 28 15 11 24,1.74,0.35,0.58,0.32,-3.18,0.22,2.60,0.36,00,-03,1000,6000
2022 01 28 15 16 24,1.74,0.35,0.58,0.32,-3.18,0.21,2.60,0.36,00,-03,1000,6000
2022 01 28 15 21 24,1.74,0.34,0.58,0.32,-3.18,0.20,2.60,0.36,01,-04,0999,9999
2022 01 28 15 26 25,0.00,-41.53,-76.94,-39.90,0.00,-39.90,-322.78,-35.61,01,-04,0999,9999
2022 01 28 15 31 25,0.00,-39.90,-76.94,-39.90,0.00,-39.90,-322.78,-35.61,01,-04,0999,9999
2022 01 28 15 36 26,1.74,0.34,0.58,0.31,-2.89,0.20,2.31,0.36,01,-04,0999,9999
2022 01 28 15 41 26,1.74,0.34,0.58,0.32,-2.89,0.20,2.60,0.36,01,-04,0999,9999
2022 01 28 15 46 26,1.74,0.34,0.87,0.31,-2.89,0.19,2.31,0.36,01,-04,0999,9999
2022 01 28 15 51 27,1.74,0.34,0.87,0.31,-2.89,0.19,2.31,0.36,01,-04,0998,9999
2022 01 28 15 56 28,1.74,0.33,0.87,0.31,-2.89,0.19,2.31,0.36,01,-04,0998,9999
2022 01 28 16 01 28,1.74,0.33,0.87,0.31,-3.18,0.18,2.60,0.36,01,-04,0998,9999
2022 01 28 16 06 29,1.74,0.33,0.58,0.31,-2.89,0.17,2.31,0.36,01,-04,0998,9999
2022 01 28 16 11 29,1.74,0.33,0.58,0.31,-3.18,0.17,2.31,0.35,01,-04,0998,9999
2022 01 28 16 16 29,1.74,0.33,0.58,0.31,-2.89,0.17,2.31,0.35,01,-04,0998,9999
2022 01 28 16 21 29,1.74,0.33,0.87,0.31,-2.89,0.17,2.31,0.35,01,-04,0997,9999
2022 01 28 16 26 29,1.74,0.33,0.87,0.31,-2.89,0.17,2.31,0.35,01,-04,0997,9999
2022 01 28 16 31 29,1.74,0.33,0.87,0.31,-2.89,0.16,2.02,0.35,01,-04,0997,9999
2022 01 28 16 36 29,1.74,0.33,0.87,0.31,-2.89,0.16,2.02,0.35,01,-04,0997,9999
2022 01 28 16 41 29,1.74,0.33,0.87,0.31,-2.60,0.16,2.31,0.35,01,-04,0997,9999
2022 01 28 16 46 30,1.74,0.33,0.87,0.31,-2.89,0.16,2.31,0.35,01,-04,0997,9999
2022 01 28 16 51 30,0.29,-39.90,-76.94,-39.90,0.00,-39.90,-322.78,-35.61,-00,-04,0996,9999
2022 01 28 16 56 31,0.29,-39.90,-77.22,-39.90,0.00,-39.90,-322.78,-35.61,-00,-04,0996,9999
2022 01 28 17 01 31,1.74,0.32,0.58,0.30,-2.89,0.15,2.31,0.36,-00,-04,0996,9999
2022 01 28 17 06 32,1.74,0.34,0.87,0.31,-2.89,0.16,2.02,0.36,-00,-04,0996,9999
2022 01 28 17 11 32,1.74,0.34,0.58,0.32,-2.89,0.16,2.02,0.36,-00,-04,0996,9999
2022 01 28 17 16 32,1.74,0.34,0.58,0.31,-2.89,0.16,2.02,0.36,-00,-04,0996,9999
2022 01 28 17 21 32,1.74,0.34,0.87,0.31,-2.89,0.15,2.02,0.36,00,-04,0995,9999
2022 01 28 17 26 33,2.02,0.33,0.58,0.31,-3.18,0.16,2.02,0.36,00,-04,0995,9999
2022 01 28 17 31 33,2.02,0.33,0.58,0.31,-3.18,0.16,2.02,0.36,00,-04,0995,9999
2022 01 28 17 36 34,1.74,0.33,0.87,0.31,-2.89,0.16,2.31,0.35,00,-04,0995,9999
2022 01 28 17 41 33,2.02,0.33,0.87,0.31,-2.89,0.15,2.02,0.36,00,-04,0995,9999
2022 01 28 17 46 34,2.02,0.33,0.87,0.31,-2.89,0.15,2.02,0.36,00,-04,0995,9999
2022 01 28 17 51 34,1.74,0.33,0.87,0.31,-2.89,0.14,2.02,0.36,00,-05,0994,9999
2022 01 28 17 56 34,2.02,0.33,0.87,0.31,-3.18,0.15,2.02,0.36,00,-05,0994,9999
2022 01 28 18 01 35,2.02,0.33,0.87,0.31,-2.89,0.14,2.02,0.36,00,-05,0994,9999
2022 01 28 18 06 35,2.02,0.33,0.87,0.31,-2.89,0.16,2.31,0.36,00,-05,0994,9999
2022 01 28 18 11 35,2.60,0.34,0.87,0.32,-2.89,0.16,1.74,0.38,00,-05,0994,9999
2022 01 28 18 16 35,2.89,0.35,1.16,0.32,-2.89,0.13,2.89,0.39,00,-05,0994,9999
2022 01 28 18 21 36,2.89,0.35,1.16,0.33,-2.89,0.14,2.31,0.40,00,-05,0993,9999
2022 01 28 18 26 36,2.89,0.36,0.87,0.34,-2.89,0.14,1.16,0.41,00,-05,0993,9999
2022 01 28 18 31 36,2.60,0.36,0.87,0.34,-3.18,0.14,0.87,0.41,00,-05,0993,9999
