Timestamp,MON1 CL DDM (?A),MON1 CL RF (dB),MON1 DS DDM (?A),MON1 DS RF (dB),MON1 NF DDM (?A),MON1 NF RF (dB),MON1 CLR DDM (?A),MON1 CLR RF (dB),Anomaly,Anomaly_Score
2684,2022-02-18 17:36:47,1.74,0.31,0.87,0.27,-15.04,0.28,-1.45,0.19,1,2.106191088171152
2685,2022-02-18 17:41:47,1.45,0.27,0.87,0.24,-15.04,0.22,-3.18,0.14,1,2.628173303338909
2686,2022-02-18 17:46:47,0.87,0.28,0.0,0.25,-14.75,0.16,-5.78,0.13,1,3.586511105566771
2687,2022-02-18 17:51:48,0.29,0.28,-0.58,0.26,-14.17,0.11,-6.65,0.13,1,4.7426527569424985
2688,2022-02-18 17:56:48,0.0,0.29,-0.58,0.28,-14.46,0.1,-6.94,0.14,1,5.387620240444144
2689,2022-02-18 18:01:49,-0.29,0.29,-0.58,0.27,-15.04,0.1,-6.94,0.11,1,6.120644145418604
2690,2022-02-18 18:06:49,-0.58,0.28,-1.45,0.27,-15.62,0.08,-7.52,0.1,1,6.404171103885053
2691,2022-02-18 18:11:50,-0.58,0.26,-1.16,0.25,-15.91,0.07,-8.68,0.07,1,6.412541426145845
2692,2022-02-18 18:16:50,-0.58,0.25,-1.45,0.24,-15.91,0.02,-10.41,0.05,1,6.427557634274214
2693,2022-02-18 18:21:51,-0.58,0.21,-1.74,0.2,-15.91,-0.03,-11.28,0.0,1,6.440381796284882
2694,2022-02-18 18:26:51,-0.58,0.16,-2.31,0.16,-15.33,-0.08,-13.3,-0.07,1,6.943222091233631
2695,2022-02-18 18:31:51,-0.58,0.13,-2.6,0.14,-15.33,-0.1,-13.88,-0.13,1,6.958374873984836
2696,2022-02-18 18:36:51,-0.87,0.08,-2.89,0.1,-15.33,-0.11,-15.04,-0.2,1,10.450529987803794
2697,2022-02-18 18:41:52,-0.87,0.05,-3.76,0.06,-15.33,-0.11,-16.78,-0.27,1,10.511037829366206
2698,2022-02-18 18:46:52,-1.16,0.01,-3.76,0.03,-15.62,-0.1,-17.35,-0.32,1,20.47168785534982
2699,2022-02-18 18:51:53,-1.16,-0.03,-4.05,-0.01,-15.62,-0.13,-17.93,-0.4,1,20.51395108089609
2700,2022-02-18 18:56:53,-1.16,-0.08,-4.34,-0.05,-15.04,-0.16,-18.51,-0.45,1,26.738963945252305
2701,2022-02-18 19:01:53,-1.16,-0.12,-4.63,-0.1,-14.46,-0.21,-19.09,-0.53,1,30.098095747164642
2702,2022-02-18 19:06:53,-0.87,-0.16,-5.21,-0.13,-14.46,-0.23,-18.8,-0.59,1,24.41683907778368
2703,2022-02-18 19:11:53,-0.87,-0.21,-5.21,-0.18,-14.17,-0.28,-18.51,-0.69,1,24.394982030197248
2704,2022-02-18 19:16:53,-0.87,-0.26,-5.5,-0.22,-13.59,-0.31,-18.8,-0.77,1,27.481969876423584
2705,2022-02-18 19:21:54,-0.87,-0.3,-5.78,-0.26,-13.02,0.03,-19.67,-0.82,1,41.40983445295405
2706,2022-02-18 19:26:54,-1.16,-0.33,-6.07,-0.29,-13.02,0.01,-19.96,-0.87,1,45.46777704310264
2707,2022-02-18 19:31:54,-1.16,-0.36,-6.65,-0.31,-12.73,0.0,-20.25,-0.91,1,45.578868210039744
2708,2022-02-18 19:36:55,-1.16,-0.4,-6.94,-0.35,-13.3,0.01,-21.4,-0.96,1,45.88803516243989
2709,2022-02-18 19:41:55,-1.16,-0.43,-6.94,-0.38,-12.73,0.01,-21.98,-0.97,1,42.41708816640415
