Timestamp,MON1 CL DDM (ｵA),MON1 CL RF (dB),MON1 DS DDM (ｵA),MON1 DS RF (dB),MON1 NF DDM (ｵA),MON1 NF RF (dB),MON1 CLR DDM (ｵA),MON1 CLR RF (dB)
2022-02-09 09:42:12,3.76,0.31,2.31,0.26,-2.89,0.17,6.07,0.30
2022-02-09 09:47:12,3.18,0.31,2.31,0.26,-2.31,0.14,6.94,0.28
2022-02-09 09:52:13,3.47,0.31,2.02,0.26,-2.60,0.13,7.23,0.28
2022-02-09 09:57:13,3.47,0.30,2.02,0.25,-2.02,0.14,6.94,0.28
2022-02-09 10:02:13,3.47,0.30,2.02,0.25,-2.02,0.10,7.23,0.28
2022-02-09 10:07:13,3.76,0.29,2.31,0.25,-1.74,0.11,7.23,0.28
2022-02-09 10:12:14,3.76,0.29,2.02,0.24,-1.16,0.08,7.23,0.28
2022-02-09 10:17:14,3.76,0.27,2.31,0.22,-1.45,0.11,7.81,0.26
2022-02-09 10:22:14,3.76,0.26,2.60,0.20,-1.74,0.17,8.10,0.25
2022-02-09 10:27:15,3.76,0.26,2.60,0.20,-2.02,0.19,8.10,0.25
2022-02-09 10:32:15,3.76,0.26,2.60,0.20,-2.31,0.19,8.10,0.24
2022-02-09 10:37:15,3.47,0.27,2.31,0.22,-2.31,0.19,7.52,0.25
2022-02-09 10:42:16,3.18,0.28,2.31,0.23,-2.02,0.14,7.23,0.26
2022-02-09 10:47:16,3.18,0.29,2.02,0.25,-2.02,0.17,6.65,0.27
2022-02-09 10:52:16,3.18,0.31,2.02,0.26,-1.74,0.14,6.36,0.28
2022-02-09 10:57:17,2.60,0.33,1.45,0.29,-2.31,0.19,5.21,0.30
2022-02-09 11:02:17,2.60,0.34,1.45,0.30,-2.31,0.18,4.92,0.31
2022-02-09 11:07:17,2.60,0.34,1.45,0.31,-2.31,0.18,4.92,0.31
2022-02-09 11:12:17,2.60,0.34,1.16,0.31,-2.31,0.18,4.63,0.31
2022-02-09 11:17:17,2.60,0.34,0.87,0.31,-2.31,0.19,3.47,0.31
2022-02-09 11:22:18,2.60,0.33,0.58,0.31,-2.31,0.19,2.31,0.31
2022-02-09 11:27:18,2.60,0.32,0.58,0.31,-2.31,0.18,1.74,0.32
2022-02-09 11:32:18,2.60,0.31,0.87,0.29,-2.02,0.14,2.02,0.31
2022-02-09 11:37:18,2.60,0.31,1.16,0.28,-2.02,0.15,3.47,0.30
2022-02-09 11:42:18,2.60,0.31,1.16,0.28,-2.02,0.14,4.05,0.29
2022-02-09 11:47:18,2.60,0.30,1.16,0.27,-1.74,0.12,4.34,0.28
2022-02-09 11:52:19,2.60,0.30,1.45,0.26,-1.74,0.13,4.63,0.28
2022-02-09 11:57:19,2.89,0.29,1.16,0.26,-1.74,0.13,4.63,0.28
2022-02-09 12:02:20,2.89,0.30,1.45,0.26,-1.45,0.13,4.63,0.28
2022-02-09 12:07:20,2.89,0.29,1.16,0.26,-1.16,0.16,4.63,0.28
2022-02-09 12:12:21,2.89,0.29,1.45,0.25,-1.16,0.10,4.92,0.27
2022-02-09 12:17:21,2.89,0.28,1.16,0.25,-1.16,0.12,4.92,0.27
2022-02-09 12:22:21,2.89,0.29,1.16,0.26,-1.16,0.10,4.63,0.28
2022-02-09 12:27:22,2.60,0.30,1.45,0.27,-1.16,0.15,4.63,0.29
2022-02-09 12:32:22,2.60,0.31,1.16,0.28,-1.45,0.15,4.63,0.30
2022-02-09 12:37:22,2.60,0.32,1.16,0.28,-1.16,0.15,4.63,0.30
2022-02-09 12:42:23,2.89,0.30,1.45,0.27,-1.16,0.15,4.63,0.29
2022-02-09 12:47:23,2.89,0.29,1.45,0.26,-1.16,0.11,4.92,0.28
2022-02-09 12:52:23,2.89,0.29,1.45,0.25,-1.16,0.12,4.92,0.27
2022-02-09 12:57:23,2.89,0.28,1.45,0.25,-1.45,0.12,4.92,0.27
2022-02-09 13:02:24,2.60,0.28,1.45,0.24,-1.16,0.11,4.92,0.26
2022-02-09 13:07:24,2.60,0.28,1.74,0.24,-1.45,0.13,5.21,0.26
2022-02-09 13:12:24,2.89,0.28,1.45,0.24,-1.16,0.11,5.21,0.26
2022-02-09 13:17:24,2.89,0.28,1.45,0.24,-1.16,0.11,5.21,0.26
2022-02-09 13:22:25,2.60,0.28,1.74,0.24,-1.16,0.13,4.92,0.26
