,Timestamp,MON1 CL DDM (?A),MON1 CL RF (dB),MON1 DS DDM (?A),MON1 DS RF (dB),MON1 NF DDM (?A),MON1 NF RF (dB),MON1 CLR DDM (?A),MON1 CLR RF (dB),Anomaly,Anomaly_Score
0,2022-01-28 14:11:19,2.02,0.32,0.87,0.29,-3.18,0.19,2.31,0.34,0,0.5883520841598511
1,2022-01-28 14:16:19,1.74,0.32,0.87,0.29,-2.89,0.19,2.31,0.34,1,1.0571242570877075
2,2022-01-28 14:21:20,1.74,0.32,0.87,0.29,-3.18,0.19,2.6,0.34,1,1.066549301147461
3,2022-01-28 14:26:20,0.29,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,29.74518100360462
4,2022-01-28 14:31:20,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.49,-35.61,1,29.800198283943544
5,2022-01-28 14:36:21,0.0,-41.53,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,29.998863935685858
6,2022-01-28 14:41:21,0.0,-41.53,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,29.998863935685858
7,2022-01-28 14:46:22,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,29.804563714345154
8,2022-01-28 14:51:22,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,29.804563714345154
9,2022-01-28 14:56:23,0.0,-41.53,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,29.998863935685858
10,2022-01-28 15:01:23,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,29.804563714345154
11,2022-01-28 15:06:24,1.74,0.34,0.58,0.31,-3.18,0.2,2.6,0.36,1,1.0684394836425781
12,2022-01-28 15:11:24,1.74,0.35,0.58,0.32,-3.18,0.22,2.6,0.36,1,1.068635106086731
13,2022-01-28 15:16:24,1.74,0.35,0.58,0.32,-3.18,0.21,2.6,0.36,1,1.068521499633789
14,2022-01-28 15:21:24,1.74,0.34,0.58,0.32,-3.18,0.2,2.6,0.36,1,1.0684258937835693
15,2022-01-28 15:26:25,0.0,-41.53,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,29.998863935685858
16,2022-01-28 15:31:25,0.0,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,29.804563714345154
17,2022-01-28 15:36:26,1.74,0.34,0.58,0.31,-2.89,0.2,2.31,0.36,1,1.059031367301941
18,2022-01-28 15:41:26,1.74,0.34,0.58,0.32,-2.89,0.2,2.6,0.36,1,1.0587249994277954
19,2022-01-28 15:46:26,1.74,0.34,0.87,0.31,-2.89,0.19,2.31,0.36,1,1.0569928884506226
20,2022-01-28 15:51:27,1.74,0.34,0.87,0.31,-2.89,0.19,2.31,0.36,1,1.0569928884506226
21,2022-01-28 15:56:28,1.74,0.33,0.87,0.31,-2.89,0.19,2.31,0.36,1,1.0570104122161865
22,2022-01-28 16:01:28,1.74,0.33,0.87,0.31,-3.18,0.18,2.6,0.36,1,1.0663485527038574
23,2022-01-28 16:06:29,1.74,0.33,0.58,0.31,-2.89,0.17,2.31,0.36,1,1.0587831735610962
24,2022-01-28 16:11:29,1.74,0.33,0.58,0.31,-3.18,0.17,2.31,0.35,1,1.068495273590088
25,2022-01-28 16:16:29,1.74,0.33,0.58,0.31,-2.89,0.17,2.31,0.35,1,1.0587949752807617
26,2022-01-28 16:21:29,1.74,0.33,0.87,0.31,-2.89,0.17,2.31,0.35,1,1.0568535327911377
27,2022-01-28 16:26:29,1.74,0.33,0.87,0.31,-2.89,0.17,2.31,0.35,1,1.0568535327911377
28,2022-01-28 16:31:29,1.74,0.33,0.87,0.31,-2.89,0.16,2.02,0.35,1,1.0571849346160889
29,2022-01-28 16:36:29,1.74,0.33,0.87,0.31,-2.89,0.16,2.02,0.35,1,1.0571849346160889
30,2022-01-28 16:41:29,1.74,0.33,0.87,0.31,-2.6,0.16,2.31,0.35,1,1.0505291223526
31,2022-01-28 16:46:30,1.74,0.33,0.87,0.31,-2.89,0.16,2.31,0.35,1,1.0567822456359863
32,2022-01-28 16:51:30,0.29,-39.9,-76.94,-39.9,0.0,-39.9,-322.78,-35.61,1,29.74518100360462
33,2022-01-28 16:56:31,0.29,-39.9,-77.22,-39.9,0.0,-39.9,-322.78,-35.61,1,29.76276291235508
34,2022-01-28 17:01:31,1.74,0.32,0.58,0.3,-2.89,0.15,2.31,0.36,1,1.0586975812911987
35,2022-01-28 17:06:32,1.74,0.34,0.87,0.31,-2.89,0.16,2.02,0.36,1,1.0571554899215698
36,2022-01-28 17:11:32,1.74,0.34,0.58,0.32,-2.89,0.16,2.02,0.36,1,1.0590826272964478
37,2022-01-28 17:16:32,1.74,0.34,0.58,0.31,-2.89,0.16,2.02,0.36,1,1.059096336364746
38,2022-01-28 17:21:32,1.74,0.34,0.87,0.31,-2.89,0.15,2.02,0.36,1,1.0570927858352661
39,2022-01-28 17:26:33,2.02,0.33,0.58,0.31,-3.18,0.16,2.02,0.36,0,0.5919195413589478
40,2022-01-28 17:31:33,2.02,0.33,0.58,0.31,-3.18,0.16,2.02,0.36,0,0.5919195413589478
41,2022-01-28 17:36:34,1.74,0.33,0.87,0.31,-2.89,0.16,2.31,0.35,1,1.0567822456359863
42,2022-01-28 17:41:33,2.02,0.33,0.87,0.31,-2.89,0.15,2.02,0.36,0,0.5705206394195557
43,2022-01-28 17:46:34,2.02,0.33,0.87,0.31,-2.89,0.15,2.02,0.36,0,0.5705206394195557
44,2022-01-28 17:51:34,1.74,0.33,0.87,0.31,-2.89,0.14,2.02,0.36,1,1.0570565462112427
45,2022-01-28 17:56:34,2.02,0.33,0.87,0.31,-3.18,0.15,2.02,0.36,0,0.5883272290229797
46,2022-01-28 18:01:35,2.02,0.33,0.87,0.31,-2.89,0.14,2.02,0.36,0,0.5704206824302673
47,2022-01-28 18:06:35,2.02,0.33,0.87,0.31,-2.89,0.16,2.31,0.36,0,0.5698903203010559
48,2022-01-28 18:11:35,2.6,0.34,0.87,0.32,-2.89,0.16,1.74,0.38,0,0.5003688931465149
49,2022-01-28 18:16:35,2.89,0.35,1.16,0.32,-2.89,0.13,2.89,0.39,0,0.45318207144737244
50,2022-01-28 18:21:36,2.89,0.35,1.16,0.33,-2.89,0.14,2.31,0.4,0,0.4561364948749542
51,2022-01-28 18:26:36,2.89,0.36,0.87,0.34,-2.89,0.14,1.16,0.41,0,0.47158315777778625
52,2022-01-28 18:31:36,2.6,0.36,0.87,0.34,-3.18,0.14,0.87,0.41,0,0.5249236226081848
53,2022-01-28 18:36:36,2.89,0.36,0.58,0.35,-3.47,0.15,0.29,0.42,0,0.3834211528301239
54,2022-01-28 18:41:37,2.6,0.36,0.58,0.35,-3.76,0.14,0.0,0.41,0,0.591625452041626
55,2022-01-28 18:46:37,2.89,0.36,1.45,0.34,-3.18,0.13,2.89,0.38,0,0.3907082676887512
56,2022-01-28 18:51:38,2.89,0.36,0.87,0.34,-3.76,0.15,2.89,0.39,0,0.28545817732810974
57,2022-01-28 18:56:38,2.89,0.36,1.16,0.34,-3.47,0.14,2.89,0.38,0,0.3335246443748474
58,2022-01-28 19:01:38,2.6,0.36,1.16,0.34,-3.18,0.08,3.18,0.38,0,0.5170071125030518
59,2022-01-28 19:06:39,2.89,0.36,0.87,0.34,-4.05,0.08,2.02,0.38,0,0.242062047123909
60,2022-01-28 19:11:39,2.6,0.36,1.16,0.34,-4.34,0.11,3.18,0.38,0,0.5276070833206177
61,2022-01-28 19:16:40,2.6,0.36,1.16,0.34,-4.05,0.11,3.18,0.38,0,0.5470799207687378
62,2022-01-28 19:21:40,2.6,0.35,1.45,0.32,-4.92,0.11,3.76,0.36,0,0.505110502243042
63,2022-01-28 19:26:41,2.89,0.35,1.45,0.32,-5.21,0.14,3.76,0.36,0,0.057872224599123
64,2022-01-28 19:31:40,3.18,0.31,2.02,0.27,-5.5,0.19,5.5,0.33,0,0.5438122749328613
65,2022-01-28 19:36:41,2.89,0.31,1.74,0.28,-4.63,0.17,5.5,0.33,0,0.10490291565656662
66,2022-01-28 19:41:42,3.18,0.31,1.74,0.27,-4.05,0.16,4.92,0.34,0,0.5646272301673889
67,2022-01-28 19:46:42,2.89,0.32,1.74,0.29,-4.05,0.16,4.34,0.35,0,0.20833338797092438
68,2022-01-28 19:51:43,3.18,0.32,1.45,0.28,-3.76,0.14,4.34,0.35,0,0.5872797966003418
69,2022-01-28 19:56:43,3.18,0.32,1.74,0.28,-3.76,0.14,4.34,0.35,0,0.5889583230018616
70,2022-01-28 20:01:43,2.89,0.32,1.74,0.28,-3.76,0.14,4.34,0.35,0,0.2684355080127716
71,2022-01-28 20:06:43,2.89,0.33,1.45,0.29,-4.34,0.17,4.63,0.35,0,0.14359718561172485
72,2022-01-28 20:11:44,3.18,0.31,2.02,0.27,-4.63,0.17,5.78,0.33,0,0.5409722924232483
73,2022-01-28 20:16:44,3.18,0.31,1.74,0.27,-5.21,0.17,5.21,0.33,0,0.5294913649559021
