Timestamp,MON1 CL DDM (?A),Status,MON1 CL SDM (%),Status,MON1 CL RF (dB),Status,MON1 DS DDM (?A),Status,MON1 DS SDM (%),Status,MON1 DS RF (dB),Status,MON1 NF DDM (?A),Status,MON1 NF SDM (%),Status,MON1 NF RF (dB),Status,MON1 CLR DDM (?A),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (dB),Status,MON1 DIFF FREQ (kHz),Status,MON1 TEST DDM (?A),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (dB),Status,MON1 SELF TEST (),Status,MON2 CL DDM (?A),Status,MON2 CL SDM (%),Status,MON2 CL RF (dB),Status,MON2 DS DDM (?A),Status,MON2 DS SDM (%),Status,MON2 DS RF (dB),Status,MON2 NF DDM (?A),Status,MON2 NF SDM (%),Status,MON2 NF RF (dB),Status,MON2 CLR DDM (?A),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (dB),Status,MON2 DIFF FREQ (kHz),Status,MON2 TEST DDM (?A),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (dB),Status,MON2 SELF TEST (),Status
"2022-01-28 14:09:51,5"," 1,16", ,"80,09", ," 0,18", ,"-0,04", ,"80,04", ," 0,20", ,"-6,17", ,"80,05", ," 0,27", ,"-1,00", ,"79,96", ," 0,19", ,"14,97", ,"-136,29",a,"40,05",a,"-8,17",a," 0,00", ," 1,24", ,"80,06", ," 0,18", ,"-0,19", ,"80,05", ," 0,19", ,"-6,09", ,"80,04", ," 0,30", ,"-1,07", ,"79,95", ," 0,18", ,"14,96", ," 1,54", ,"80,14", ," 0,00", ," 0,00", 
"2022-01-28 14:14:52,0"," 1,16", ,"80,09", ," 0,18", ,"-0,04", ,"80,05", ," 0,20", ,"-6,17", ,"80,05", ," 0,27", ,"-1,00", ,"79,97", ," 0,19", ,"14,97", ," 1,46", ,"80,25", ," 0,00", ," 0,00", ," 1,24", ,"80,05", ," 0,18", ,"-0,19", ,"80,05", ," 0,20", ,"-6,09", ,"80,04", ," 0,30", ,"-0,90", ,"79,99", ," 0,18", ,"14,97", ,"-136,03",a,"39,99",a,"-8,16",a," 0,00", 
"2022-01-28 14:19:52,2"," 1,16", ,"80,08", ," 0,18", ,"-0,04", ,"80,04", ," 0,20", ,"-6,17", ,"80,05", ," 0,27", ,"-1,09", ,"79,91", ," 0,19", ,"14,96", ," 1,46", ,"80,24", ," 0,00", ," 0,00", ," 1,16", ,"80,06", ," 0,18", ,"-0,19", ,"80,06", ," 0,20", ,"-6,09", ,"80,04", ," 0,30", ,"-0,81", ,"79,97", ," 0,18", ,"14,97", ," 1,46", ,"80,14", ," 0,00", ," 0,00", 
"1990-01-01 00:00:00,0"," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?
"2022-01-28 14:29:54,6"," 1,16", ,"80,09", ," 0,18", ," 0,04", ,"80,04", ," 0,20", ,"-6,17", ,"80,05", ," 0,27", ,"-1,09", ,"79,94", ," 0,19", ,"14,97", ,"-136,29",a,"40,05",a,"-8,16",a," 0,00", ," 1,24", ,"80,06", ," 0,18", ,"-0,19", ,"80,05", ," 0,20", ,"-6,09", ,"80,04", ," 0,30", ,"-0,90", ,"79,95", ," 0,18", ,"14,96", ," 1,54", ,"80,14", ," 0,00", ," 0,00", 
"1990-01-01 00:00:00,0"," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?
"1990-01-01 00:00:00,0"," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?
"2022-01-28 14:45:03,0"," 1,16", ,"80,08", ," 0,18", ,"-0,04", ,"80,04", ," 0,20", ,"-6,17", ,"80,05", ," 0,28", ,"-0,91", ,"79,97", ," 0,19", ,"14,96", ,"-136,20",a,"40,04",a,"-8,16",a," 0,00", ," 1,24", ,"80,06", ," 0,19", ,"-0,27", ,"80,05", ," 0,20", ,"-6,09", ,"80,04", ," 0,30", ,"-0,81", ,"79,96", ," 0,18", ,"14,97", ,"-136,03",a,"39,99",a,"-8,17",a," 0,00", 
"2022-01-28 14:50:03,2"," 1,16", ,"80,09", ," 0,18", ,"-0,13", ,"80,05", ," 0,20", ,"-6,17", ,"80,06", ," 0,28", ,"-1,09", ,"79,94", ," 0,19", ,"14,96", ," 1,46", ,"80,25", ," 0,00", ," 0,00", ," 1,16", ,"80,06", ," 0,19", ,"-0,10", ,"80,05", ," 0,20", ,"-6,09", ,"80,05", ," 0,30", ,"-0,99", ,"79,96", ," 0,18", ,"14,96", ,"-136,11",a,"39,99",a,"-8,17",a," 0,00", 
"1990-01-01 00:00:00,0"," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?," 0,00",?
