Timestamp,MON1 CL DDM (?A),Status,MON1 CL SDM (%),Status,MON1 CL RF (V),Status,MON1 DS DDM (?A),Status,MON1 DS SDM (%),Status,MON1 DS RF (V),Status,MON1 NF DDM (?A),Status,MON1 NF SDM (%),Status,MON1 NF RF (V),Status,MON1 CLR DDM (?A),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (V),Status,MON1 DIFF FREQ (kHz),Status,MON1 TEST DDM (?A),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (V),Status,MON1 SELF TEST (),Status,MON2 CL DDM (?A),Status,MON2 CL SDM (%),Status,MON2 CL RF (V),Status,MON2 DS DDM (?A),Status,MON2 DS SDM (%),Status,MON2 DS RF (V),Status,MON2 NF DDM (?A),Status,MON2 NF SDM (%),Status,MON2 NF RF (V),Status,MON2 CLR DDM (?A),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (V),Status,MON2 DIFF FREQ (kHz),Status,MON2 TEST DDM (?A),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (V),Status,MON2 SELF TEST (),Status
"2022-02-09 19:01:43,6","-0,87", ,"80,21", ," 3,13", ,"-1,45", ,"80,21", ," 3,13", ,"-12,73", ,"80,14", ," 3,11", ,"-1,45", ,"79,30", ," 3,10", ,"15,04", ,"-17,35", ,"72,41", ," 2,24", ," 0,00", ,"-0,87", ,"80,38", ," 3,14", ,"-1,16", ,"80,28", ," 3,09", ,"-13,02", ,"80,24", ," 3,08", ,"-2,02", ,"79,40", ," 3,06", ,"15,00", ,"-60,74",a,"53,85",a," 1,53",a," 0,00", 
"2022-02-09 19:06:43,9","-0,87", ,"80,17", ," 3,12", ,"-1,45", ,"80,21", ," 3,12", ,"-13,02", ,"80,11", ," 3,11", ,"-1,45", ,"79,30", ," 3,09", ,"15,02", ,"-65,37",a,"53,89",a," 1,95",a," 0,00", ,"-1,16", ,"80,41", ," 3,14", ,"-1,16", ,"80,28", ," 3,09", ,"-13,02", ,"80,21", ," 3,08", ,"-1,74", ,"79,40", ," 3,06", ,"15,02", ," 0,00", ,"80,24", ," 3,05", ," 0,00", 
"2022-02-09 19:11:44,6","-0,87", ,"80,21", ," 3,12", ,"-1,16", ,"80,21", ," 3,12", ,"-12,73", ,"80,14", ," 3,11", ,"-1,16", ,"79,30", ," 3,09", ,"15,04", ,"-60,74",a,"53,42",a," 1,53",a," 0,00", ,"-1,16", ,"80,41", ," 3,14", ,"-0,87", ,"80,28", ," 3,08", ,"-13,02", ,"80,24", ," 3,08", ,"-1,45", ,"79,40", ," 3,06", ,"15,00", ," 0,00", ,"80,24", ," 3,05", ," 0,00", 
"2022-02-09 19:16:45,3","-0,87", ,"80,21", ," 3,12", ,"-1,16", ,"80,21", ," 3,12", ,"-12,73", ,"80,14", ," 3,10", ,"-1,16", ,"79,30", ," 3,09", ,"15,02", ,"-58,71",a,"54,63",a," 1,53",a," 0,00", ,"-1,16", ,"80,38", ," 3,14", ,"-0,87", ,"80,31", ," 3,08", ,"-13,02", ,"80,21", ," 3,08", ,"-1,45", ,"79,40", ," 3,06", ,"15,02", ,"-67,39",a,"56,22",a," 2,29", ," 0,00", 
"2022-02-09 19:21:45,9","-0,87", ,"80,21", ," 3,12", ,"-1,16", ,"80,21", ," 3,12", ,"-12,73", ,"80,14", ," 3,10", ,"-1,16", ,"79,33", ," 3,09", ,"15,04", ," 0,00", ,"80,04", ," 3,05", ," 0,00", ,"-0,87", ,"80,38", ," 3,13", ,"-1,16", ,"80,28", ," 3,08", ,"-12,73", ,"80,21", ," 3,07", ,"-1,45", ,"79,40", ," 3,06", ,"15,00", ,"-60,74",a,"53,96",a," 1,53",a," 0,00", 
"2022-02-09 19:26:46,4","-0,87", ,"80,17", ," 3,12", ,"-1,16", ,"80,21", ," 3,11", ,"-12,73", ,"80,11", ," 3,10", ,"-0,87", ,"79,30", ," 3,09", ,"15,02", ,"-60,74",a,"53,48",a," 1,53",a," 0,00", ,"-1,16", ,"80,41", ," 3,13", ,"-1,16", ,"80,28", ," 3,08", ,"-12,73", ,"80,21", ," 3,07", ,"-1,45", ,"79,40", ," 3,06", ,"15,00", ," 0,00", ,"80,24", ," 3,05", ," 0,00", 
"2022-02-09 19:31:47,0","-0,58", ,"80,17", ," 3,11", ,"-1,16", ,"80,17", ," 3,11", ,"-13,02", ,"80,14", ," 3,10", ,"-0,87", ,"79,33", ," 3,09", ,"15,04", ,"-61,03",a,"53,48",a," 1,53",a," 0,00", ,"-0,87", ,"80,41", ," 3,13", ,"-1,16", ,"80,28", ," 3,08", ,"-13,02", ,"80,21", ," 3,07", ,"-1,45", ,"79,40", ," 3,06", ,"15,00", ,"-18,80", ,"75,21", ," 3,05", ," 0,00", 
"2022-02-09 19:36:46,8","-0,29", ,"80,21", ," 3,11", ,"-1,45", ,"80,21", ," 3,11", ,"-13,02", ,"80,14", ," 3,10", ,"-1,16", ,"79,33", ," 3,09", ,"15,04", ,"-14,46", ,"75,72", ," 2,43", ," 0,00", ,"-0,87", ,"80,38", ," 3,13", ,"-1,16", ,"80,28", ," 3,08", ,"-13,02", ,"80,24", ," 3,07", ,"-1,45", ,"79,40", ," 3,06", ,"15,00", ,"-60,74",a,"53,99",a," 1,53",a," 0,00", 
"2022-02-09 19:41:47,5","-0,58", ,"80,21", ," 3,11", ,"-1,45", ,"80,21", ," 3,11", ,"-13,02", ,"80,14", ," 3,10", ,"-1,16", ,"79,33", ," 3,09", ,"15,04", ," 0,00", ,"80,04", ," 3,05", ," 0,00", ,"-0,87", ,"80,38", ," 3,13", ,"-0,87", ,"80,28", ," 3,08", ,"-13,30", ,"80,21", ," 3,07", ,"-1,45", ,"79,43", ," 3,06", ,"15,00", ,"-60,74",a,"53,99",a," 1,53",a," 0,00", 
"2022-02-09 19:46:48,1","-0,87", ,"80,21", ," 3,11", ,"-1,16", ,"80,21", ," 3,11", ,"-12,73", ,"80,14", ," 3,10", ,"-1,16", ,"79,33", ," 3,09", ,"15,02", ,"-12,44", ,"77,88", ," 3,05", ," 0,00", ,"-1,16", ,"80,41", ," 3,13", ,"-1,16", ,"80,28", ," 3,08", ,"-13,02", ,"80,21", ," 3,07", ,"-1,45", ,"79,40", ," 3,06", ,"15,00", ,"-8,68", ,"71,47", ," 2,10", ," 0,00", 
"2022-02-09 19:51:48,2","-0,87", ,"80,21", ," 3,11", ,"-1,45", ,"80,21", ," 3,11", ,"-12,73", ,"80,14", ," 3,10", ,"-1,16", ,"79,33", ," 3,09", ,"15,00", ," 0,00", ,"80,04", ," 3,05", ," 0,00", ,"-1,16", ,"80,41", ," 3,13", ,"-0,87", ,"80,28", ," 3,08", ,"-13,02", ,"80,21", ," 3,07", ,"-1,45", ,"79,40", ," 3,06", ,"15,00", ,"-58,71",a,"54,80",a," 1,53",a," 0,00", 
